,Player,Team,Age,Height,Weight,GP,Injury Status_Injured,MP,Pos,predicted
462,Taj Gibson,MIN,34.0,6.75,232.0,70.0,0,33.2,PF,1
285,Julius Randle,NOP,24.0,6.75,250.0,73.0,0,26.7,C,1
321,Kyle O'Quinn,IND,29.0,6.83,250.0,45.0,1,18.0,C,1
365,Michael Carter-Williams,ORL,27.0,6.5,190.0,28.0,1,16.1,PG,1
92,Danilo Gallinari,LAC,30.0,6.83,225.0,68.0,1,32.0,SF,0
277,Jose Calderon,DET,37.0,6.25,200.0,49.0,0,16.0,PG,1
4,Al-Farouq Aminu,POR,28.0,6.75,220.0,81.0,0,30.0,PF,1
477,Tobias Harris,PHI,26.0,6.75,235.0,82.0,0,33.4,PF,1
505,Udonis Haslem,MIA,39.0,6.67,235.0,10.0,0,5.1,C,0
240,Jayson Tatum,BOS,21.0,6.67,208.0,79.0,0,30.5,SF,1
185,Greg Monroe,PHI,29.0,6.92,265.0,43.0,0,20.4,C,1
309,Khem Birch,ORL,26.0,6.75,233.0,50.0,0,13.8,C,0
281,Josh Richardson,MIA,25.0,6.5,200.0,73.0,1,33.2,SF,1
163,Evan Turner,POR,30.0,6.58,220.0,73.0,1,25.7,SF,1
396,Omri Casspi,MEM,31.0,6.75,225.0,36.0,0,14.0,SF,0
487,Trey Burke,DAL,26.0,6.08,175.0,58.0,0,21.8,PG,0
473,Thon Maker,DET,22.0,7.08,221.0,64.0,0,16.7,C,0
378,Montrezl Harrell,LAC,25.0,6.67,240.0,82.0,0,17.0,C,1
345,MarShon Brooks,MEM,30.0,6.42,200.0,29.0,1,27.6,SG,1
104,De'Aaron Fox,SAC,21.0,6.25,175.0,81.0,1,27.8,PG,0
524,Zach Collins,POR,21.0,7.0,235.0,77.0,1,15.8,C,1
75,Cody Zeller,CHA,26.0,7.0,240.0,49.0,1,19.0,C,0
