,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
1529,D,"6'0""",200,Weegar MacKenzie,25,Injured,4.0,4.0,Concussion,Florida
1530,D,"6'0""",200,Weegar MacKenzie,25,Injured,4.0,4.0,Lower body,Florida
1531,D,"6'0""",200,Weegar MacKenzie,25,Injured,4.0,3.0,Shoulder,Florida
1532,D,"6'0""",200,Weegar MacKenzie,25,Injured,4.0,7.0,Upper body,Florida
1533,RW,"6'2""",206,Weise Dale,30,Not Injured,,,,
1534,D,"6'1""",201,Welinski Andy,26,Not Injured,,,,
1535,C,"6'2""",196,Wennberg Alexander,24,Not Injured,,,,
1536,D,"6'2""",209,Werenski Zachary,21,Not Injured,,,,
1537,G,"6'4""",198,Westerholm Niclas,21,Not Injured,,,,
1538,G,"5'10""",190,Wexler Ben,24,Not Injured,,,,
1539,RW,"6'5""",225,Wheeler Blake,32,Not Injured,,,,
1540,C,"6'0""",183,White Colin,22,Injured,2.0,5.0,Neck,Ottawa
1541,C,"6'0""",183,White Colin,22,Injured,2.0,5.0,Shoulder,Ottawa
1542,D,"6'1""",185,White Colton,22,Not Injured,,,,
1543,D,"5'10""",180,Wideman Chris,29,Injured,1.0,1.0,Lower body,Ottawa
1544,G,"6'0""",189,Wilcox Adam,26,Not Injured,,,,
1545,RW,"6'1""",184,Williams Justin,37,Not Injured,,,,
1546,C,"6'1""",221,Wilson Colin,29,Injured,3.0,1.0,Lower body,Colorado
1547,C,"6'1""",221,Wilson Colin,29,Injured,3.0,8.0,Shoulder,Colorado
1548,C,"6'1""",221,Wilson Colin,29,Injured,3.0,8.0,Upper body,Colorado
1549,LW,"6'2""",199,Wilson Garrett,28,Not Injured,,,,
1550,RW,"5'11""",183,Wilson Scott,27,Injured,1.0,43.0,Ankle,Buffalo
1551,RW,"6'4""",218,Wilson Tom,25,Not Injured,,,,
1552,C,"6'0""",200,Wingels Tommy,31,Not Injured,,,,
1553,LW,"6'2""",210,Winnik Daniel,34,Not Injured,,,,
1554,D,"6'2""",210,Witkowski Luke,29,Not Injured,,,,
1555,D,"6'2""",185,Wolanin Christian,24,Not Injured,,,,
1556,G,"6'3""",196,Woll Joseph,20,Not Injured,,,,
1557,LW,"6'2""",195,Wood Miles,23,Injured,3.0,12.0,Ankle,New Jersey
1558,LW,"6'2""",195,Wood Miles,23,Injured,3.0,4.0,Arm,New Jersey
1559,LW,"6'2""",195,Wood Miles,23,Injured,3.0,3.0,Lower body,New Jersey
1560,D,"6'2""",207,Wotherspoon Tyler,26,Not Injured,,,,
1561,D,"6'0""",190,Yakovlev Egor,27,Injured,1.0,2.0,Upper body,New Jersey
1562,D,"6'0""",190,Yakovlev Yegor,27,Not Injured,,,,
1563,RW,"5'11""",195,Yakupov Nail,25,Not Injured,,,,
1564,RW,"5'8""",153,Yamamoto Kailer,20,Injured,1.0,8.0,Upper body,Edmonton
1565,LW,"6'1""",184,Yan Dennis,22,Not Injured,,,,
1566,D,"6'1""",191,Yandle Keith,32,Not Injured,,,,
1567,C,"6'0""",185,Zablocki Lane,20,Not Injured,,,,
1568,C,"6'3""",210,Zacha Pavel,22,Injured,1.0,16.0,Upper body,New Jersey
1569,LW,"6'0""",196,Zadina Filip,19,Not Injured,,,,
1570,D,"6'5""",230,Zadorov Nikita,24,Injured,2.0,10.0,Lower body,Colorado
1571,D,"6'5""",230,Zadorov Nikita,24,Injured,2.0,1.0,Upper body,Colorado
1572,D,"6'2""",193,Zaitsev Nikita,27,Not Injured,,,,
1573,C,"6'2""",185,Zajac Travis,34,Injured,1.0,1.0,Lower body,New Jersey
1574,D,"6'0""",200,Zboril Jakub,22,Not Injured,,,,
1575,C,"6'0""",197,Zetterberg Henrik,38,Injured,1.0,82.0,Back,Detroit
1576,C,"6'2""",213,Zibanejad Mika,26,Not Injured,,,,
1577,RW,"5'8""",184,Zuccarello Mats,31,Injured,4.0,17.0,Arm,Dallas
1578,RW,"5'8""",184,Zuccarello Mats,31,Injured,4.0,1.0,Foot,NY Rangers
1579,RW,"5'8""",184,Zuccarello Mats,31,Injured,4.0,3.0,Groin,NY Rangers
1580,RW,"5'8""",184,Zuccarello Mats,31,Injured,4.0,7.0,Groin,NY Rangers
1581,LW,"5'11""",183,Zucker Jason,27,Not Injured,,,,
1582,C,"5'9""",175,Zummack Eli,19,Not Injured,,,,
1583,LW,"6'0""",200,Zykov Valentin,24,Not Injured,,,,
1584,D,"6'1""",195,de Haan Calvin,28,Injured,3.0,3.0,Eye,Carolina
1585,D,"6'1""",195,de Haan Calvin,28,Injured,3.0,2.0,Upper body,Carolina
1586,D,"6'1""",195,de Haan Calvin,28,Injured,3.0,3.0,Upper body,Carolina
1587,C,"6'3""",210,de la Rose Jacob,24,Not Injured,,,,
1588,LW,"6'3""",217,van Riemsdyk James,30,Injured,1.0,16.0,Lower body,Philadelphia
1589,D,"6'2""",192,van Riemsdyk Trevor,27,Not Injured,,,,
