,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
197,LW,"5'9""",185,Cammalleri Michael,37,Not Injured,,,,
198,G,"6'2""",197,Campbell Jack,27,Injured,1.0,23.0,Knee,Los Angeles
199,G,"6'1""",205,Cannata Joe,29,Not Injured,,,,
200,D,"6'1""",196,Capobianco Kyle,21,Injured,1.0,28.0,Lower body,Arizona/Phoenix
201,C,"6'1""",200,Carey Paul,30,Not Injured,,,,
202,D,"6'5""",212,Carlo Brandon,22,Injured,1.0,9.0,Upper body,Boston
203,D,"6'3""",218,Carlson John,29,Injured,1.0,1.0,Lower body,Washington
204,D,"6'5""",192,Carlsson Gabriel,22,Not Injured,,,,
205,C,"6'0""",200,Carpenter Ryan,28,Injured,1.0,8.0,Upper body,Vegas
206,LW,"6'0""",191,Carr Daniel,27,Not Injured,,,,
207,D,"5'11""",192,Carrick Connor,25,Injured,1.0,27.0,Foot,Dallas
208,C,"6'0""",188,Carrick Sam,25,Not Injured,,,,
209,D,"5'11""",174,Carrier Alexander,22,Not Injured,,,,
210,LW,"6'2""",212,Carrier William,24,Injured,1.0,14.0,Upper body,Vegas
211,C,"6'3""",219,Carter Jeff,34,Injured,2.0,5.0,Lower body,Los Angeles
212,C,"6'3""",219,Carter Jeff,34,Injured,2.0,1.0,Upper body,Los Angeles
213,C,"6'1""",200,Cave Colby,24,Not Injured,,,,
214,D,"6'2""",209,Ceci Cody,25,Injured,2.0,3.0,Upper body,Ottawa
215,D,"6'2""",209,Ceci Cody,25,Injured,2.0,4.0,Upper body,Ottawa
216,LW,"6'2""",202,Cehlarik Peter,23,Injured,1.0,2.0,Lower body,Boston
217,D,"6'4""",225,Cernak Erik,22,Injured,1.0,2.0,Lower body,Tampa Bay
218,D,"6'2""",196,Chabot Thomas,22,Injured,2.0,4.0,Toe,Ottawa
219,D,"6'2""",196,Chabot Thomas,22,Injured,2.0,8.0,Upper body,Ottawa
220,D,"6'1""",194,Chainey Jocktan,19,Not Injured,,,,
221,C,"6'2""",199,Chaput Michael,27,Not Injured,,,,
222,D,"6'9""",250,Chara Zdeno,42,Injured,1.0,19.0,Knee,Boston
223,C,"5'11""",190,Chartier Rourke,23,Not Injured,,,,
224,D,"6'0""",180,Chatfield Jalen,23,Not Injured,,,,
225,D,"6'2""",185,Chelios Jake,28,Not Injured,,,,
226,D,"6'3""",219,Chiarot Ben,28,Injured,1.0,4.0,Lower body,Winnipeg/Atlanta
227,RW,"6'4""",208,Chiasson Alex,28,Injured,1.0,3.0,Knee,Edmonton
228,RW,"6'3""",215,Chimera Jason,40,Not Injured,,,,
229,C,"6'1""",196,Chlapik Filip,22,Not Injured,,,,
230,D,"6'1""",165,Cholowski Dennis,21,Injured,1.0,2.0,Upper body,Detroit
231,D,"6'0""",193,Chorney Taylor,32,Not Injured,,,,
232,D,"6'2""",210,Chychrun Jakob,21,Injured,3.0,16.0,Knee,Arizona/Phoenix
233,D,"6'2""",210,Chychrun Jakob,21,Injured,3.0,4.0,Lower body,Arizona/Phoenix
234,D,"6'2""",210,Chychrun Jakob,21,Injured,3.0,2.0,Upper body,Arizona/Phoenix
235,C,"6'2""",208,Chytil Filip,19,Not Injured,,,,
236,C,"6'0""",180,Cirelli Anthony,21,Not Injured,,,,
237,C,"5'11""",195,Cizikas Casey,28,Injured,3.0,1.0,Lower body,NY Islanders
238,C,"5'11""",195,Cizikas Casey,28,Injured,3.0,2.0,Lower body,NY Islanders
239,C,"5'11""",195,Cizikas Casey,28,Injured,3.0,6.0,Lower body,NY Islanders
240,D,"6'1""",196,Claesson Fredrik,26,Injured,2.0,13.0,Shoulder,NY Rangers
241,D,"6'1""",196,Claesson Fredrik,26,Injured,2.0,9.0,Upper body,NY Rangers
242,LW,"5'10""",180,Clark Emerson,26,Not Injured,,,,
243,D,"6'0""",196,Clendening Adam,26,Not Injured,,,,
244,LW,"6'2""",211,Clifford Kyle,28,Injured,1.0,7.0,Upper body,Los Angeles
245,D,"5'11""",175,Clifton Connor,24,Not Injured,,,,
246,LW,"5'10""",207,Clune Richard,32,Not Injured,,,,
247,RW,"5'11""",216,Clutterbuck Cal,31,Injured,3.0,1.0,Lower body,NY Islanders
248,RW,"5'11""",216,Clutterbuck Cal,31,Injured,3.0,2.0,Upper body,NY Islanders
249,RW,"5'11""",216,Clutterbuck Cal,31,Injured,3.0,3.0,Upper body,NY Islanders
250,D,"6'5""",223,Coburn Braydon,34,Injured,1.0,1.0,Upper body,Tampa Bay
251,C,"5'10""",177,Cogliano Andrew,32,Injured,1.0,3.0,Upper body,Dallas
252,D,"6'1""",219,Cole Ian,30,Injured,1.0,11.0,Orbital bone,Colorado
253,C,"5'11""",200,Coleman Blake,27,Injured,1.0,4.0,Upper body,New Jersey
254,LW,"6'0""",190,Colton Ross,22,Not Injured,,,,
255,LW,"6'1""",200,Comeau Blake,33,Injured,1.0,3.0,Upper body,Dallas
256,LW,"6'0""",193,Compher J.T.,24,Injured,1.0,16.0,Concussion,Colorado
257,G,"6'1""",180,Comrie Eric,23,Not Injured,,,,
258,LW,"6'2""",205,Comtois Maxime,20,Injured,1.0,14.0,Lower body,Anaheim
259,C,"5'8""",180,Conacher Cory,29,Not Injured,,,,
260,G,"6'2""",197,Condon Mike,29,Not Injured,,,,
261,RW,"5'11""",188,Condra Erik,32,Not Injured,,,,
262,D,"6'2""",205,Connauton Kevin,29,Injured,2.0,1.0,Lower body,Arizona/Phoenix
263,D,"6'2""",205,Connauton Kevin,29,Injured,2.0,5.0,Lower body,Arizona/Phoenix
264,RW,"6'3""",195,Connolly Brett,27,Not Injured,,,,
265,LW,"6'1""",182,Connor Kyle,22,Not Injured,,,,
266,D,"5'10""",196,Cooper Brian,25,Not Injured,,,,
267,G,"6'4""",200,Copley Pheonix,27,Not Injured,,,,
268,C,"6'1""",206,Copp Andrew,24,Injured,1.0,3.0,Concussion,Winnipeg/Atlanta
269,G,"6'6""",220,Coreau Jared,27,Not Injured,,,,
270,C,"6'2""",198,Cornel Eric,23,Not Injured,,,,
271,C,"5'11""",185,Cousins Nick,25,Not Injured,,,,
272,C,"6'1""",200,Couture Logan,30,Not Injured,,,,
273,C,"6'3""",211,Couturier Sean,26,Injured,1.0,2.0,Lower body,Philadelphia
274,C,"6'3""",200,Coyle Charlie,27,Not Injured,,,,
275,RW,"6'2""",218,Cracknell Adam,33,Not Injured,,,,
276,C,"6'0""",192,Cramarossa Joseph,26,Not Injured,,,,
277,G,"6'2""",216,Crawford Corey,34,Injured,3.0,5.0,Concussion,Chicago
278,G,"6'2""",216,Crawford Corey,34,Injured,3.0,28.0,Concussion,Chicago
279,G,"6'2""",216,Crawford Corey,34,Injured,3.0,1.0,Groin,Chicago
280,C,"5'11""",200,Crosby Sidney,31,Injured,1.0,3.0,Upper body,Pittsburgh
281,D,"6'3""",205,Cross Tommy,29,Not Injured,,,,
282,LW,"6'4""",220,Crouse Lawson,22,Not Injured,,,,
283,C,"6'1""",202,Cullen Matt,42,Injured,1.0,11.0,Lower body,Pittsburgh
284,RW,"5'10""",172,Currie Josh,26,Not Injured,,,,
285,C,"5'9""",170,Czarnik Austin,26,Not Injured,,,,
286,G,"6'2""",209,D'Orio Alex,20,Not Injured,,,,
287,G,"6'3""",205,Daccord Joey,22,Not Injured,,,,
288,RW,"5'11""",185,Dadonov Evgenii,30,Not Injured,,,,
289,C,"5'11""",176,Dahlen Jonathan,21,Not Injured,,,,
290,D,"6'3""",186,Dahlin Rasmus,19,Not Injured,,,,
291,D,"6'4""",231,Dahlstrom Carl,24,Not Injured,,,,
292,LW,"6'3""",204,Dal Colle Michael,23,Not Injured,,,,
293,D,"5'11""",195,Daley Trevor,35,Injured,5.0,2.0,Back,Detroit
294,D,"5'11""",195,Daley Trevor,35,Injured,5.0,11.0,Back,Detroit
295,D,"5'11""",195,Daley Trevor,35,Injured,5.0,16.0,Foot,Detroit
296,D,"5'11""",195,Daley Trevor,35,Injured,5.0,5.0,Lower body,Detroit
297,D,"5'11""",195,Daley Trevor,35,Injured,5.0,4.0,Upper body,Detroit
298,C,"6'2""",194,Dalpe Zac,29,Not Injured,,,,
299,C,"6'1""",198,Danault Phillip,26,Not Injured,,,,
300,C,"5'11""",212,Dano Marko,24,Not Injured,,,,
301,G,"6'2""",187,Dansk Oscar,25,Not Injured,,,,
302,G,"6'6""",232,Darling Scott,30,Injured,1.0,8.0,Lower body,Carolina
303,C,"6'1""",180,Dauphin Laurent,24,Not Injured,,,,
304,D,"6'2""",208,Davidson Brandon,27,Injured,1.0,24.0,Leg,Chicago
305,D,"5'11""",180,Davies Jeremy,22,Not Injured,,,,
306,C,"5'10""",185,De Leo Chase,23,Not Injured,,,,
307,D,"5'11""",180,DeAngelo Anthony,23,Not Injured,,,,
308,LW,"5'7""",165,DeBrincat Alex,21,Not Injured,,,,
309,LW,"6'0""",188,DeBrusk Jake,22,Injured,2.0,9.0,Concussion,Boston
310,LW,"6'0""",188,DeBrusk Jake,22,Injured,2.0,5.0,Foot,Boston
311,D,"6'3""",192,DeKeyser Danny,29,Injured,3.0,8.0,Hand,Detroit
312,D,"6'3""",192,DeKeyser Danny,29,Injured,3.0,19.0,Hand,Detroit
313,D,"6'3""",192,DeKeyser Danny,29,Injured,3.0,3.0,Lower body,Detroit
314,D,"6'1""",195,DeMelo Dylan,26,Injured,1.0,5.0,Upper body,Ottawa
315,RW,"5'8""",172,DeSalvo Dan,27,Not Injured,,,,
316,D,"6'2""",185,DeSimone Nick,24,Not Injured,,,,
317,G,"6'0""",181,DeSmith Casey,27,Not Injured,,,,
318,C,"5'11""",175,Dea Jean-Sebastien,25,Not Injured,,,,
319,D,"6'0""",201,Del Zotto Michael,29,Not Injured,,,,
320,G,"6'2""",208,Delia Collin,25,Not Injured,,,,
321,G,"6'0""",205,Dell Aaron,30,Not Injured,,,,
322,D,"6'1""",195,Demers Jason,31,Injured,1.0,47.0,Knee,Arizona/Phoenix
323,G,"6'4""",192,Demko Thatcher,23,Injured,1.0,9.0,Knee,Vancouver
324,D,"6'0""",204,Dermott Travis,22,Injured,1.0,14.0,Shoulder,Toronto
325,LW,"6'1""",221,Deslauriers Nicolas,28,Injured,1.0,6.0,Facial,Montreal
326,D,"6'4""",214,Despres Simon,27,Not Injured,,,,
327,G,"6'1""",200,Desrosiers Philippe,23,Not Injured,,,,
328,RW,"6'0""",200,Di Giuseppe Phillip,25,Not Injured,,,,
329,C,"5'11""",188,Di Pauli Thomas,25,Not Injured,,,,
330,G,"6'0""",192,DiPietro Michael,20,Not Injured,,,,
331,C,"6'2""",200,Dickinson Jason,24,Injured,2.0,11.0,Back,Dallas
332,C,"6'2""",200,Dickinson Jason,24,Injured,2.0,2.0,Lower body,Dallas
333,D,"6'4""",225,Dillon Brenden,28,Not Injured,,,,
334,D,"6'0""",198,Dirk Jagger,26,Not Injured,,,,
335,D,"6'0""",169,Djoos Christian,24,Injured,1.0,24.0,Thigh,Washington
336,C,"5'10""",193,Domi Max,24,Not Injured,,,,
337,G,"6'3""",210,Domingue Louis,27,Injured,1.0,4.0,Lower body,Tampa Bay
338,C,"6'0""",193,Donato Ryan,23,Not Injured,,,,
339,D,"6'1""",205,Donovan Matt,29,Not Injured,,,,
340,RW,"6'0""",190,Donskoi Joonas,27,Not Injured,,,,
341,G,"6'1""",165,Dostal Lukas,19,Not Injured,,,,
342,C,"5'10""",172,Dostie Alex,22,Not Injured,,,,
343,D,"6'3""",210,Dotchin Jake,25,Not Injured,,,,
344,D,"6'1""",185,Dougherty Jack,23,Not Injured,,,,
345,D,"6'1""",202,Doughty Drew,29,Not Injured,,,,
346,C,"6'2""",197,Dowd Nic,29,Not Injured,,,,
347,C,"5'10""",180,Dowling Justin,28,Injured,1.0,3.0,Upper body,Dallas
348,C,"6'2""",208,Draisaitl Leon,23,Not Injured,,,,
349,D,"6'1""",190,Drew Hunter,20,Not Injured,,,,
350,C,"5'9""",185,Dries Sheldon,25,Not Injured,,,,
351,LW,"6'0""",193,Drouin Jonathan,24,Not Injured,,,,
352,LW,"5'10""",183,Dube Dillon,20,Injured,2.0,4.0,Concussion,Calgary
353,LW,"5'10""",183,Dube Dillon,20,Injured,2.0,1.0,Lower body,Calgary
354,C,"6'2""",205,Dubinsky Brandon,33,Injured,3.0,7.0,Hip,Columbus
355,C,"6'2""",205,Dubinsky Brandon,33,Injured,3.0,4.0,Lower body,Columbus
356,C,"6'2""",205,Dubinsky Brandon,33,Injured,3.0,10.0,Oblique,Columbus
357,G,"6'6""",224,Dubnyk Devan,33,Not Injured,,,,
358,C,"6'3""",207,Dubois Pierre-Luc,21,Not Injured,,,,
359,RW,"6'0""",179,Ducharme Justin,19,Not Injured,,,,
360,C,"5'11""",195,Duchene Matt,28,Injured,1.0,6.0,Groin,Ottawa
361,LW,"5'11""",191,Duclair Anthony,23,Not Injured,,,,
362,D,"6'0""",182,Dumba Mathew,24,Not Injured,,,,
363,D,"6'4""",207,Dumoulin Brian,27,Injured,2.0,3.0,Concussion,Pittsburgh
364,D,"6'4""",207,Dumoulin Brian,27,Injured,2.0,3.0,Lower body,Pittsburgh
365,D,"6'0""",203,Dunn Vince,22,Injured,1.0,2.0,Lower body,St. Louis
366,D,"6'0""",189,Durzi Sean,20,Not Injured,,,,
367,C,"6'0""",195,Dvorak Christian,23,Injured,2.0,4.0,Lower body,Arizona/Phoenix
368,C,"6'0""",195,Dvorak Christian,23,Injured,2.0,58.0,Pectoral,Arizona/Phoenix
369,LW,"6'0""",190,Dzingel Ryan,27,Injured,1.0,2.0,Lower body,Ottawa
370,C,"6'0""",190,Eakin Cody,28,Injured,1.0,3.0,Lower body,Vegas
371,RW,"5'11""",203,Eaves Patrick,35,Injured,2.0,33.0,Ribs,Anaheim
372,RW,"5'11""",203,Eaves Patrick,35,Injured,2.0,13.0,Shoulder,Anaheim
373,RW,"5'11""",187,Eberle Jordan,29,Injured,1.0,4.0,Upper body,NY Islanders
374,D,"6'3""",212,Edler Alexander,33,Injured,2.0,11.0,Concussion,Vancouver
375,D,"6'3""",212,Edler Alexander,33,Injured,2.0,15.0,Knee,Vancouver
376,D,"6'4""",215,Edmundson Joel,26,Injured,3.0,2.0,Groin,St. Louis
377,D,"6'4""",215,Edmundson Joel,26,Injured,3.0,2.0,Hand,St. Louis
378,D,"6'4""",215,Edmundson Joel,26,Injured,3.0,11.0,Lower body,St. Louis
379,LW,"6'0""",172,Ehlers Nikolaj,23,Injured,1.0,20.0,Shoulder,Winnipeg/Atlanta
380,C,"6'2""",193,Ehn Christoffer,23,Not Injured,,,,
381,C,"6'2""",206,Eichel Jack,22,Injured,1.0,3.0,Upper body,Buffalo
382,D,"6'4""",220,Ekblad Aaron,23,Not Injured,,,,
383,D,"6'4""",215,Ekholm Mattias,29,Not Injured,,,,
384,D,"6'2""",200,Ekman-Larsson Oliver,27,Injured,1.0,1.0,Knee,Arizona/Phoenix
385,LW,"6'1""",215,Elie Remi,24,Not Injured,,,,
386,C,"6'2""",207,Eller Lars,30,Injured,1.0,1.0,Lower body,Washington
387,G,"6'2""",209,Elliott Brian,34,Injured,1.0,40.0,Lower body,Philadelphia
388,D,"6'1""",190,Elliott Stefan,28,Not Injured,,,,
389,D,"5'10""",180,Ellis Ryan,28,Not Injured,,,,
390,C,"6'6""",194,Elynuik Hudson,21,Not Injured,,,,
391,D,"6'2""",218,Emelin Alexei,33,Not Injured,,,,
392,D,"6'2""",214,Engelland Deryk,37,Injured,1.0,3.0,Arm,Vegas
393,D,"6'3""",189,Englund Andreas,23,Not Injured,,,,
394,LW,"5'9""",161,Ennis Tyler,29,Injured,1.0,18.0,Ankle,Toronto
395,D,"5'10""",180,Enstrom Toby,34,Not Injured,,,,
396,D,"6'4""",220,Ericsson Jonathan,35,Injured,2.0,5.0,Lower body,Detroit
397,D,"6'4""",220,Ericsson Jonathan,35,Injured,2.0,7.0,Upper body,Detroit
398,C,"6'1""",208,Eriksson Ek Joel,22,Injured,2.0,6.0,Lower body,Minnesota
399,C,"6'1""",208,Eriksson Ek Joel,22,Injured,2.0,7.0,Lower body,Minnesota
400,G,"6'1""",180,Eriksson Ek Olle,20,Not Injured,,,,
401,LW,"6'2""",179,Eriksson Loui,33,Not Injured,,,,
402,LW,"6'1""",214,Erne Adam,24,Injured,1.0,1.0,Upper body,Tampa Bay
403,C,"6'0""",196,Estephan Giorgio,22,Not Injured,,,,
404,RW,"6'1""",212,Etem Emerson,27,Not Injured,,,,
405,LW,"5'10""",190,Fabbri Robby,23,Injured,2.0,10.0,Groin,St. Louis
406,LW,"5'10""",190,Fabbri Robby,23,Injured,2.0,10.0,Shoulder,St. Louis
407,D,"6'1""",193,Fabbro Dante,21,Not Injured,,,,
408,C,"6'3""",220,Faksa Radek,25,Injured,1.0,1.0,Neck,Dallas
409,D,"6'5""",224,Falk Justin,30,Injured,1.0,12.0,Concussion,Ottawa
410,D,"6'0""",206,Fantenberg Oscar,27,Injured,1.0,3.0,Lower body,Los Angeles
411,RW,"6'3""",205,Fasching Hudson,23,Not Injured,,,,
412,RW,"6'1""",192,Fast Jesper,27,Injured,2.0,5.0,Upper body,NY Rangers
413,RW,"6'1""",192,Fast Jesper,27,Injured,2.0,10.0,Upper body,NY Rangers
414,D,"6'0""",217,Faulk Justin,27,Not Injured,,,,
415,G,"6'1""",189,Fazio Justin,22,Not Injured,,,,
416,D,"6'1""",201,Fedun Taylor,31,Not Injured,,,,
417,C,"6'4""",209,Fehr Eric,33,Not Injured,,,,
418,LW,"6'0""",194,Ferguson Brady,24,Not Injured,,,,
419,G,"6'1""",192,Ferguson Dylan,20,Not Injured,,,,
420,LW,"6'1""",217,Ferland Micheal,27,Injured,5.0,1.0,Back,Carolina
421,LW,"6'1""",217,Ferland Micheal,27,Injured,5.0,4.0,Concussion,Carolina
422,LW,"6'1""",217,Ferland Micheal,27,Injured,5.0,1.0,Upper body,Carolina
423,LW,"6'1""",217,Ferland Micheal,27,Injured,5.0,2.0,Upper body,Carolina
424,LW,"6'1""",217,Ferland Micheal,27,Injured,5.0,3.0,Upper body,Carolina
425,LW,"5'10""",193,Fiala Kevin,22,Not Injured,,,,
426,C,"6'0""",196,Filppula Valtteri,35,Injured,2.0,2.0,Upper body,NY Islanders
427,C,"6'0""",196,Filppula Valtteri,35,Injured,2.0,8.0,Upper body,NY Islanders
428,RW,"6'2""",214,Fischer Christian,22,Not Injured,,,,
429,C,"5'9""",172,Fitzgerald Ryan,24,Not Injured,,,,
430,G,"6'3""",206,Fitzpatrick Evan,21,Not Injured,,,,
431,D,"6'3""",221,Fleury Haydn,22,Injured,2.0,3.0,Concussion,Carolina
432,D,"6'3""",221,Fleury Haydn,22,Injured,2.0,9.0,Concussion,Carolina
433,G,"6'2""",180,Fleury Marc-Andre,34,Injured,1.0,9.0,Lower body,Vegas
434,D,"6'1""",163,Flower Walter,20,Not Injured,,,,
435,LW,"6'1""",183,Flynn Brian,30,Not Injured,,,,
436,LW,"6'2""",198,Foegele Warren,23,Not Injured,,,,
437,RW,"6'3""",212,Fogarty Steven,26,Not Injured,,,,
438,LW,"6'0""",185,Foley Erik,22,Not Injured,,,,
439,LW,"6'3""",228,Foligno Marcus,27,Not Injured,,,,
440,LW,"6'0""",202,Foligno Nick,31,Not Injured,,,,
441,D,"6'3""",204,Folin Christian,28,Not Injured,,,,
442,RW,"6'0""",185,Foo Spencer,25,Not Injured,,,,
443,D,"6'3""",209,Foote Callan,20,Not Injured,,,,
444,LW,"6'3""",187,Foote Nolan,18,Not Injured,,,,
445,D,"6'4""",216,Forbort Derek,27,Not Injured,,,,
446,LW,"6'2""",174,Formenton Alex,19,Injured,1.0,3.0,Concussion,Ottawa
447,D,"6'2""",200,Forney Chris,24,Not Injured,,,,
448,C,"6'1""",184,Forsbacka Karlsson Jakob,22,Not Injured,,,,
449,G,"6'3""",192,Forsberg Anton,26,Not Injured,,,,
450,LW,"6'1""",205,Forsberg Filip,24,Injured,2.0,1.0,Upper body,Nashville
451,LW,"6'1""",205,Forsberg Filip,24,Injured,2.0,17.0,Upper body,Nashville
452,D,"6'0""",186,Forsling Gustav,23,Injured,3.0,6.0,Shoulder,Chicago
453,D,"6'0""",186,Forsling Gustav,23,Injured,3.0,8.0,Torso,Chicago
454,D,"6'0""",186,Forsling Gustav,23,Injured,3.0,8.0,Wrist,Chicago
455,C,"6'0""",172,Fortin Alexandre,22,Not Injured,,,,
456,D,"6'2""",206,Fowler Cam,27,Injured,1.0,23.0,Facial,Anaheim
457,G,"6'0""",179,Francouz Pavel,29,Not Injured,,,,
458,D,"6'2""",192,Fraser Cole,20,Not Injured,,,,
459,C,"6'2""",203,Frederic Trent,21,Not Injured,,,,
460,D,"5'10""",192,Friedman Mark,23,Not Injured,,,,
461,C,"5'11""",192,Fritz Tanner,27,Injured,1.0,5.0,Hand,NY Islanders
462,RW,"6'1""",205,Frk Martin,25,Not Injured,,,,
463,C,"6'1""",202,Froese Byron,28,Not Injured,,,,
464,RW,"6'1""",190,Frolik Michael,31,Injured,1.0,15.0,Lower body,Calgary
465,G,"6'3""",183,Fulcher Kaden,20,Not Injured,,,,
466,LW,"6'1""",205,Gaborik Marian,37,Injured,1.0,82.0,Back,Ottawa
467,RW,"6'4""",212,Gabriel Kurtis,26,Injured,1.0,3.0,Upper body,New Jersey
468,LW,"5'11""",204,Gabrielle Jesse,22,Not Injured,,,,
469,LW,"6'2""",201,Gadjovich Jonah,20,Not Injured,,,,
470,LW,"5'11""",200,Gagner Sam,29,Not Injured,,,,
471,C,"6'1""",207,Galchenyuk Alex,25,Injured,2.0,3.0,Lower body,Arizona/Phoenix
472,C,"6'1""",207,Galchenyuk Alex,25,Injured,2.0,7.0,Lower body,Arizona/Phoenix
473,RW,"5'9""",184,Gallagher Brendan,27,Not Injured,,,,
474,C,"6'1""",185,Gallant Zachary,20,Not Injured,,,,
475,C,"5'10""",196,Gambardella Joe,25,Not Injured,,,,
476,C,"6'0""",195,Gambrell Dylan,22,Not Injured,,,,
477,D,"6'2""",203,Gardiner Jake,29,Injured,2.0,2.0,Back,Toronto
478,D,"6'2""",203,Gardiner Jake,29,Injured,2.0,18.0,Back,Toronto
479,RW,"5'10""",165,Garland Conor,23,Not Injured,,,,
480,D,"6'1""",218,Garrison Jason,34,Not Injured,,,,
481,C,"6'3""",205,Gaudet Tyler,26,Not Injured,,,,
482,LW,"6'1""",184,Gaudette Adam,22,Not Injured,,,,
483,C,"6'0""",179,Gaudreau Frederick,26,Not Injured,,,,
484,LW,"5'9""",165,Gaudreau Johnny,25,Not Injured,,,,
485,C,"6'2""",217,Gaunce Brendan,25,Not Injured,,,,
486,D,"6'1""",210,Gaunce Cameron,29,Not Injured,,,,
487,C,"6'5""",235,Gauthier Frederik,24,Injured,1.0,2.0,Foot,Toronto
488,D,"6'3""",205,Gavrikov Vladislav,23,Not Injured,,,,
489,C,"6'1""",191,Gawdin Glenn,22,Not Injured,,,,
490,G,"6'1""",179,Georgiev Alexandar,23,Not Injured,,,,
491,LW,"5'4""",176,Gerbe Nathan,31,Not Injured,,,,
492,C,"5'11""",175,Gersich Shane,22,Not Injured,,,,
493,LW,"6'6""",221,Gettinger Tim,21,Not Injured,,,,
494,C,"6'4""",225,Getzlaf Ryan,34,Injured,4.0,5.0,Groin,Anaheim
495,C,"6'4""",225,Getzlaf Ryan,34,Injured,4.0,1.0,Upper body,Anaheim
496,C,"6'4""",225,Getzlaf Ryan,34,Injured,4.0,4.0,Upper body,Anaheim
497,C,"6'4""",225,Getzlaf Ryan,34,Injured,4.0,5.0,Upper body,Anaheim
498,C,"5'8""",175,Gibbons Brian,31,Injured,1.0,1.0,Hand,Anaheim
499,G,"6'1""",205,Gibson Christopher,26,Not Injured,,,,
500,G,"6'2""",206,Gibson John,25,Injured,1.0,9.0,Upper body,Anaheim
501,C,"5'11""",172,Gignac Brandon,21,Not Injured,,,,
502,D,"6'2""",199,Gilbert Dennis,22,Not Injured,,,,
503,G,"6'5""",216,Gillies Jon,25,Not Injured,,,,
504,C,"5'10""",170,Gilmour Brady,20,Not Injured,,,,
505,D,"6'0""",195,Gilmour John,26,Not Injured,,,,
506,RW,"5'7""",178,Gionta Brian,40,Not Injured,,,,
507,C,"5'6""",177,Gionta Stephen,35,Not Injured,,,,
508,D,"6'1""",200,Giordano Mark,35,Not Injured,,,,
509,D,"5'10""",162,Girard Samuel,21,Not Injured,,,,
510,D,"6'1""",212,Girardi Dan,35,Injured,1.0,13.0,Lower body,Tampa Bay
511,LW,"6'2""",207,Girgensons Zemgus,25,Injured,1.0,4.0,Upper body,Buffalo
512,C,"5'11""",185,Giroux Claude,31,Not Injured,,,,
513,LW,"6'1""",213,Glass Tanner,35,Not Injured,,,,
514,D,"6'1""",180,Gleason Ben,21,Not Injured,,,,
515,C,"5'11""",192,Glendening Luke,30,Not Injured,,,,
516,C,"5'10""",175,Glotov Vasily,21,Not Injured,,,,
517,RW,"6'0""",165,Gogolev Pavel,19,Not Injured,,,,
518,LW,"5'11""",196,Goldobin Nikolay,23,Not Injured,,,,
519,D,"5'11""",185,Goligoski Alex,33,Injured,1.0,5.0,Lower body,Arizona/Phoenix
520,LW,"5'10""",160,Golod Maxim,18,Not Injured,,,,
521,D,"6'1""",200,Goloubef Cody,29,Not Injured,,,,
522,RW,"6'2""",215,Goodrow Barclay,26,Not Injured,,,,
523,D,"6'7""",227,Gordeev Fedor,20,Not Injured,,,,
524,D,"6'1""",204,Gorges Josh,34,Not Injured,,,,
525,D,"5'11""",180,Gostisbehere Shayne,26,Injured,1.0,3.0,Lower body,Philadelphia
526,LW,"6'0""",199,Goulbourne Tyrell,25,Not Injured,,,,
527,C,"5'9""",172,Gourde Yanni,27,Not Injured,,,,
528,RW,"6'1""",188,Grabner Michael,31,Injured,1.0,41.0,Eye,Arizona/Phoenix
529,C,"5'11""",186,Grabovski Mikhail,35,Not Injured,,,,
530,D,"6'0""",176,Graham Jesse,25,Not Injured,,,,
531,C,"6'0""",180,Granlund Markus,26,Not Injured,,,,
532,RW,"5'10""",185,Granlund Mikael,27,Not Injured,,,,
533,C,"6'3""",215,Grant Derek,29,Injured,1.0,3.0,Upper body,Anaheim
534,C,"6'5""",208,Graovac Tyler,26,Not Injured,,,,
535,D,"6'4""",211,Gravel Kevin,27,Not Injured,,,,
536,D,"6'5""",226,Graves Ryan,24,Not Injured,,,,
537,RW,"5'10""",172,Greco Anthony,25,Not Injured,,,,
538,D,"6'1""",207,Green Mike,33,Injured,1.0,13.0,Lower body,Detroit
539,D,"5'11""",190,Greene Andy,36,Not Injured,,,,
540,LW,"6'2""",210,Greening Colin,33,Not Injured,,,,
541,LW,"6'6""",227,Greenway Jordan,22,Not Injured,,,,
542,LW,"6'3""",210,Greer A.J.,22,Not Injured,,,,
543,C,"6'0""",194,Gregoire Jeremy,23,Not Injured,,,,
544,G,"6'2""",232,Greiss Thomas,33,Not Injured,,,,
545,C,"5'6""",180,Grimaldi Rocco,26,Injured,1.0,6.0,Upper body,Nashville
546,D,"6'2""",183,Groleau Jeremy,19,Not Injured,,,,
547,G,"6'1""",185,Grosenick Troy,29,Not Injured,,,,
548,C,"6'1""",192,Groulx Benoit-Olivier,19,Not Injured,,,,
549,G,"6'1""",191,Grubauer Philipp,27,Not Injured,,,,
550,LW,"6'0""",201,Grundstrom Carl,21,Not Injured,,,,
551,D,"6'4""",222,Gryba Eric,31,Not Injured,,,,
552,D,"5'9""",174,Grzelcyk Matt,25,Injured,3.0,8.0,Arm,Boston
553,D,"5'9""",174,Grzelcyk Matt,25,Injured,3.0,2.0,Lower body,Boston
554,D,"5'9""",174,Grzelcyk Matt,25,Injured,3.0,4.0,Lower body,Boston
