,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
884,C,74.0,179,Necas Martin,20,Not Injured
885,G,72.0,198,Nedeljkovic Alex,23,Not Injured
886,C,75.0,212,Nelson Brock,27,Not Injured
887,D,73.0,183,Nelson Casey,26,Injured
888,D,75.0,219,Nemeth Patrik,27,Injured
889,D,70.0,187,Ness Aaron,29,Not Injured
890,G,73.0,209,Neuvirth Michal,31,Injured
891,RW,76.0,210,Nichushkin Valeri,24,Injured
892,RW,74.0,218,Niederreiter Nino,26,Not Injured
893,C,73.0,188,Nielsen Frans,35,Injured
894,G,74.0,209,Niemi Antti,35,Not Injured
895,LW,71.0,190,Nieto Matt,26,Injured
896,C,75.0,210,Nieves Boo,25,Not Injured
897,D,73.0,176,Niku Sami,22,Not Injured
898,G,78.0,232,Nilsson Anders,29,Injured
899,LW,70.0,180,Nilsson Jacob,25,Not Injured
900,D,73.0,203,Niskanen Matt,32,Injured
901,RW,73.0,205,Noesen Stefan,26,Injured
902,D,74.0,191,Nogier Nelson,23,Not Injured
903,C,75.0,219,Nolan Jordan,30,Not Injured
904,C,73.0,194,Nordstrom Joakim,27,Injured
905,D,71.0,192,Norell Robin,24,Not Injured
906,LW,75.0,210,Nosek Tomas,26,Injured
907,C,72.0,184,Nugent-Hopkins Ryan,26,Not Injured
908,D,76.0,221,Nurse Darnell,24,Not Injured
909,D,73.0,191,Nutivaara Markus,25,Not Injured
910,D,75.0,190,Nyberg John,22,Not Injured
911,LW,73.0,196,Nylander Alexander,21,Injured
912,RW,72.0,191,Nylander William,23,Not Injured
913,RW,71.0,184,Nyquist Gustav,29,Not Injured
914,C,74.0,202,O'Brien Jim,30,Not Injured
915,RW,71.0,180,O'Brien Zach,27,Not Injured
916,RW,72.0,175,O'Connor Logan,22,Not Injured
917,D,76.0,207,O'Gara Rob,25,Not Injured
918,D,73.0,190,O'Neill Will,31,Not Injured
919,C,70.0,185,O'Regan Danny,25,Not Injured
