,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
1264,D,75.0,217,Trotman Zach,28,Not Injured
1265,D,75.0,202,Trouba Jacob,25,Not Injured
1266,C,77.0,200,True Alexander,21,Not Injured
1267,RW,76.0,222,Tuch Alex,23,Not Injured
1268,C,74.0,196,Turgeon Dominic,23,Not Injured
1269,C,73.0,190,Turris Kyle,29,Injured
1270,D,75.0,192,Tyszka Jarret,20,Not Injured
1271,G,76.0,221,Ullmark Linus,25,Not Injured
1272,C,74.0,194,Ullstrom David,30,Not Injured
1273,LW,72.0,200,Upshall Scottie,35,Not Injured
1274,D,73.0,185,Vaakanainen Urho,20,Injured
1275,D,77.0,210,Vala Ondrej,21,Not Injured
1276,D,74.0,188,Valiev Rinat,24,Not Injured
1277,D,74.0,212,Valimaki Juuso,20,Injured
1278,LW,75.0,217,van Riemsdyk James,30,Injured
1279,D,74.0,192,van Riemsdyk Trevor,27,Not Injured
1280,G,73.0,190,Vanecek Vitek,23,Not Injured
1281,LW,74.0,214,Vanek Thomas,35,Injured
1282,G,74.0,205,Varlamov Semyon,31,Injured
1283,C,70.0,183,Varone Philip,28,Not Injured
1284,G,75.0,207,Vasilevskiy Andrei,24,Injured
1285,D,70.0,185,Vatanen Sami,28,Injured
1286,C,69.0,201,Vatrano Frank,25,Not Injured
1287,C,73.0,194,Veleno Joe,19,Not Injured
1288,C,70.0,183,Verbeek Hayden,21,Not Injured
1289,C,73.0,197,Vermette Antoine,36,Not Injured
1290,RW,72.0,180,Véronneau Max,23,Not Injured
1291,LW,71.0,176,Versteeg Kris,33,Not Injured
1292,RW,75.0,207,Vesalainen Kristian,20,Not Injured
1293,LW,75.0,199,Vesey Jimmy,26,Not Injured
1294,C,75.0,205,Vilardi Gabriel,19,Not Injured
1295,RW,73.0,226,Virtanen Jake,22,Injured
1296,G,77.0,185,Vladar Daniel,21,Not Injured
1297,D,73.0,205,Vlasic Marc-Edouard,32,Injured
1298,RW,74.0,214,Voracek Jakub,29,Injured
1299,C,74.0,206,Vorobyev Mikhail,22,Not Injured
1300,LW,72.0,197,Vrana Jakub,23,Not Injured
1301,LW,73.0,185,Wagner Austin,22,Injured
1302,RW,72.0,198,Wagner Chris,28,Injured
1303,D,71.0,161,Walcott Daniel,25,Not Injured
1304,D,74.0,190,Walford Scott,20,Not Injured
1305,C,69.0,186,Walker Nathan,25,Not Injured
1306,D,71.0,196,Walker Sean,24,Injured
1307,C,72.0,178,Wallmark Lucas,23,Not Injured
1308,D,73.0,170,Walman Jake,23,Not Injured
1309,G,73.0,194,Ward Cam,35,Injured
1310,RW,73.0,225,Ward Joel,38,Not Injured
1311,D,69.0,170,Warsofsky David,29,Not Injured
1312,LW,76.0,204,Watson Austin,27,Not Injured
1313,C,70.0,179,Weal Jordan,27,Not Injured
1314,D,75.0,198,Webb Reilly,20,Not Injured
1315,D,76.0,229,Weber Shea,33,Injured
1316,D,71.0,200,Weber Yannick,30,Injured
1317,G,74.0,195,Wedgewood Scott,26,Not Injured
1318,D,72.0,200,Weegar MacKenzie,25,Injured
1319,RW,74.0,206,Weise Dale,30,Not Injured
1320,D,73.0,201,Welinski Andy,26,Not Injured
1321,C,74.0,196,Wennberg Alexander,24,Not Injured
1322,D,74.0,209,Werenski Zachary,21,Not Injured
1323,G,76.0,198,Westerholm Niclas,21,Not Injured
1324,G,70.0,190,Wexler Ben,24,Not Injured
1325,RW,77.0,225,Wheeler Blake,32,Not Injured
1326,C,72.0,183,White Colin,22,Injured
1327,D,73.0,185,White Colton,22,Not Injured
1328,D,70.0,180,Wideman Chris,29,Injured
1329,G,72.0,189,Wilcox Adam,26,Not Injured
1330,RW,73.0,184,Williams Justin,37,Not Injured
1331,C,73.0,221,Wilson Colin,29,Injured
1332,LW,74.0,199,Wilson Garrett,28,Not Injured
1333,RW,71.0,183,Wilson Scott,27,Injured
1334,RW,76.0,218,Wilson Tom,25,Not Injured
1335,C,72.0,200,Wingels Tommy,31,Not Injured
1336,LW,74.0,210,Winnik Daniel,34,Not Injured
1337,D,74.0,210,Witkowski Luke,29,Not Injured
1338,D,74.0,185,Wolanin Christian,24,Not Injured
1339,G,75.0,196,Woll Joseph,20,Not Injured
1340,LW,74.0,195,Wood Miles,23,Injured
1341,D,74.0,207,Wotherspoon Tyler,26,Not Injured
1342,D,72.0,190,Yakovlev Egor,27,Injured
1343,D,72.0,190,Yakovlev Yegor,27,Not Injured
1344,RW,71.0,195,Yakupov Nail,25,Not Injured
1345,RW,68.0,153,Yamamoto Kailer,20,Injured
1346,LW,73.0,184,Yan Dennis,22,Not Injured
1347,D,73.0,191,Yandle Keith,32,Not Injured
1348,C,72.0,185,Zablocki Lane,20,Not Injured
1349,C,75.0,210,Zacha Pavel,22,Injured
1350,LW,72.0,196,Zadina Filip,19,Not Injured
1351,D,77.0,230,Zadorov Nikita,24,Injured
1352,D,74.0,193,Zaitsev Nikita,27,Not Injured
1353,C,74.0,185,Zajac Travis,34,Injured
1354,D,72.0,200,Zboril Jakub,22,Not Injured
1355,C,72.0,197,Zetterberg Henrik,38,Injured
1356,C,74.0,213,Zibanejad Mika,26,Not Injured
1357,RW,68.0,184,Zuccarello Mats,31,Injured
1358,LW,71.0,183,Zucker Jason,27,Not Injured
1359,C,69.0,175,Zummack Eli,19,Not Injured
