,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
327,Haula Erik,VGS,15,2,5,7,1,16.583333333333332,289,19.3,35:32:00, LW
328,Borgen Will,BUF,4,0,0,0,-5,16.55,91,22.8,0:00, D
329,Eller Lars,WSH,81,13,23,36,-1,16.533333333333335,1576,19.5,37:12:00, C
330,Hajek Libor,NYR,5,1,0,1,1,16.533333333333335,107,21.4,82:39:00, D
331,Eberle Jordan,NYI,78,19,18,37,-6,16.533333333333335,1514,19.4,34:50:00, RW
332,Petrovic Alex,EDM/FLA,35,0,2,2,-15,16.533333333333335,785,22.4,289:12:00, D
333,Bertuzzi Tyler,DET,73,21,26,47,11,16.516666666666666,1547,21.2,25:39:00, LW
334,Kesler Ryan,ANA,60,5,3,8,-19,16.5,1358,22.6,123:44:00, C
335,Sekera Andrej,EDM,24,0,4,4,3,16.483333333333334,548,22.8,98:56:00, D
336,Nemeth Patrik,COL,74,1,9,10,5,16.483333333333334,1528,20.6,122:00:00, D
337,Henrique Adam,ANA,82,18,24,42,-5,16.45,1772,21.6,32:07:00, C
338,Faksa Radek,DAL,81,15,15,30,-3,16.433333333333334,1953,24.1,44:21:00, C
339,Tatar Tomas,MTL,80,25,33,58,21,16.416666666666668,1737,21.7,22:38, LW
340,Gallagher Brendan,MTL,82,33,19,52,10,16.4,1775,21.6,25:51:00, RW
341,MacDonald Andrew,PHI,47,0,9,9,-5,16.4,1014,21.6,85:36:00, D
342,Smith Zack,OTT,70,9,19,28,-6,16.35,1513,21.6,40:52:00, C
343,Bozak Tyler,STL,72,13,25,38,-3,16.35,1534,21.3,30:58:00, C
344,Marleau Patrick,TOR,82,16,21,37,-6,16.35,1774,21.6,36:13:00, C
345,Anisimov Artem,CHI,78,15,22,37,-2,16.35,1611,20.7,34:27:00, C
346,Bonino Nick,NSH,81,17,18,35,27,16.3,1873,23.1,37:44:00, C
347,Ruhwedel Chad,PIT,18,1,1,2,-9,16.283333333333335,401,22.3,146:29:00, D
348,Kovalchuk Ilya,LA,64,16,18,34,-26,16.233333333333334,1263,19.7,30:33:00, LW
349,Niederreiter Nino,CAR/MIN,82,23,30,53,-4,16.233333333333334,1637,20.0,25:06:00, RW
350,White Colin,OTT,71,14,27,41,-24,16.2,1455,20.5,28:03:00, C
351,Kadri Nazem,TOR,73,16,28,44,-2,16.183333333333334,1499,20.5,26:51:00, C
352,DeBrusk Jake,BOS,68,27,15,42,2,16.166666666666668,1319,19.4,26:10:00, LW
353,Strome Dylan,CHI/ARI,78,20,37,57,-8,16.15,1511,19.4,22:06, C
354,Coburn Braydon,TB,74,4,19,23,4,16.116666666666667,1504,20.3,51:50:00, D
355,Zacha Pavel,NJ,61,13,12,25,-6,16.083333333333332,1224,20.1,39:14:00, C
356,Gilmour John,NYR,5,0,0,0,-3,16.083333333333332,106,21.2,0:00, D
357,Capobianco Kyle,ARI,2,0,0,0,-2,16.083333333333332,38,19.0,0:00, D
358,Holzer Korbinian,ANA,22,1,3,4,5,16.066666666666666,523,23.8,88:22:00, D
359,Vesey Jimmy,NYR,81,17,18,35,-6,16.05,1681,20.8,37:09:00, LW
360,Hamhuis Dan,NSH,57,0,5,5,-2,16.05,1197,21.0,182:56:00, D
361,Sissons Colton,NSH,75,15,15,30,20,16.05,1652,22.0,40:06:00, C
362,Welinski Andy,ANA,26,1,3,4,-5,16.033333333333335,551,21.2,104:15:00, D
363,Andersson Rasmus,CGY,79,2,17,19,17,16.033333333333335,1639,20.7,66:41:00, D
364,Tkachuk Brady,OTT,71,22,23,45,-10,16.016666666666666,1442,20.3,25:17:00, LW
365,Fantenberg Oscar,CGY/LA,61,2,2,4,3,16.0,1295,21.2,244:00:00, D
366,Richardson Brad,ARI,66,19,8,27,6,15.966666666666667,1549,23.5,39:01:00, C
367,Johnson Tyler,TB,80,29,18,47,15,15.95,1650,20.6,27:08:00, C
368,Stone Michael,CGY,14,0,5,5,0,15.933333333333334,303,21.6,44:37:00, D
369,Gunnarsson Carl,STL,25,3,4,7,8,15.933333333333334,568,22.7,56:53:00, D
370,Johansson Marcus,BOS/NJ,58,13,17,30,-16,15.916666666666666,1106,19.1,30:47:00, C
371,Shaw Andrew,MTL,63,19,28,47,17,15.916666666666666,1267,20.1,21:20, C
372,Rust Bryan,PIT,72,18,17,35,10,15.9,1610,22.4,32:43:00, RW
373,Kunin Luke,MIN,49,6,11,17,-9,15.883333333333333,1014,20.7,45:47:00, C
374,Steen Alexander,STL,65,10,17,27,2,15.833333333333334,1429,22.0,38:08:00, LW
375,Gourde Yanni,TB,80,22,26,48,9,15.833333333333334,1597,20.0,26:23:00, LW
376,Little Bryan,WPG,82,15,26,41,-12,15.833333333333334,1719,21.0,31:39:00, C
377,Koekkoek Slater,CHI/TB,31,2,4,6,4,15.833333333333334,655,21.1,81:47:00, D
378,Rodrigues Evan,BUF,74,9,20,29,-7,15.816666666666666,1528,20.6,40:22:00, RW
379,Armia Joel,MTL,57,13,10,23,0,15.8,1213,21.3,39:08:00, RW
380,Namestnikov Vladislav,NYR,78,11,20,31,-7,15.8,1651,21.2,39:44:00, C
381,Glendening Luke,DET,78,10,13,23,2,15.783333333333333,1818,23.3,53:32:00, C
382,McQuaid Adam,NYR/CBJ,50,3,4,7,2,15.783333333333333,1147,22.9,112:41:00, D
383,Ehlers Nikolaj,WPG,62,21,16,37,2,15.766666666666667,1190,19.2,26:24:00, LW
384,Galchenyuk Alex,ARI,72,19,22,41,-19,15.733333333333333,1485,20.6,27:37:00, C
385,Comeau Blake,DAL,77,7,11,18,-7,15.733333333333333,1776,23.1,67:16:00, LW
386,Fast Jesper,NYR,66,8,12,20,-3,15.716666666666667,1420,21.5,51:52:00, RW
387,Turris Kyle,NSH,55,7,16,23,-6,15.7,1109,20.2,37:31:00, C
388,Hunwick Matt,BUF,14,0,2,2,-7,15.683333333333334,280,20.0,109:49:00, D
389,Ryan Bobby,OTT,78,15,27,42,-29,15.683333333333334,1563,20.0,29:07:00, RW
390,Yakovlev Egor,NJ,25,2,5,7,-6,15.666666666666666,504,20.2,55:58:00, D
391,Gaunce Cameron,TB,2,0,0,0,3,15.666666666666666,39,19.5,0:00, D
392,Simmonds Wayne,PHI/NSH,79,17,13,30,-16,15.666666666666666,1530,19.4,41:15:00, RW
393,Kulikov Dmitry,WPG,57,0,6,6,4,15.666666666666666,1060,18.6,148:48:00, D
394,Orpik Brooks,WSH,53,2,7,9,8,15.666666666666666,1030,19.4,92:14:00, D
395,Folin Christian,MTL/PHI,45,0,6,6,6,15.666666666666666,979,21.8,117:26:00, D
396,Kase Ondrej,ANA,30,11,9,20,0,15.65,593,19.8,23:29, RW
397,Fiala Kevin,NSH/MIN,83,13,26,39,-23,15.633333333333333,1650,19.9,33:17:00, LW
398,Rutta Jan,CHI/TB,37,2,6,8,4,15.6,787,21.3,72:06:00, D
399,Strome Ryan,EDM/NYR,81,19,16,35,-3,15.566666666666666,1658,20.5,36:02:00, C
400,Borowiecki Mark,OTT,53,1,4,5,-12,15.566666666666666,1214,22.9,165:02:00, D
401,Lehkonen Artturi,MTL,82,11,20,31,10,15.55,1780,21.7,41:09:00, LW
402,Thornton Joe,SJ,73,16,35,51,8,15.55,1492,20.4,22:15, C
403,Lauzon Jeremy,BOS,16,1,0,1,-1,15.533333333333333,350,21.9,248:37:00, D
404,Nylander William,TOR,54,7,20,27,-4,15.516666666666667,1145,21.2,31:01:00, RW
405,Beaulieu Nathan,BUF/WPG,48,3,9,12,6,15.5,929,19.4,62:01:00, D
406,Valimaki Juuso,CGY,24,1,2,3,-2,15.483333333333333,475,19.8,123:52:00, D
407,Hornqvist Patric,PIT,69,18,19,37,-3,15.483333333333333,1412,20.5,28:51:00, RW
408,Bortuzzo Robert,STL,59,2,8,10,9,15.466666666666667,1323,22.4,91:17:00, D
409,Sbisa Luca,NYI,9,0,1,1,0,15.466666666666667,197,21.9,139:13:00, D
410,Walker Sean,LA,39,3,7,10,-8,15.433333333333334,783,20.1,60:11:00, D
411,Jarnkrok Calle,NSH,79,10,16,26,13,15.433333333333334,1688,21.4,46:53:00, C
412,Nelson Casey,BUF,38,1,5,6,1,15.416666666666666,752,19.8,97:35:00, D
413,Abdelkader Justin,DET,71,6,13,19,-14,15.4,1465,20.6,57:32:00, LW
414,Zadina Filip,DET,9,1,2,3,-5,15.383333333333333,182,20.2,46:09:00, RW
415,Eakin Cody,VGS,78,22,19,41,19,15.383333333333333,1421,18.2,29:15:00, C
416,Myers Philippe,PHI,21,1,1,2,-5,15.366666666666667,409,19.5,161:21:00, RW
417,Hirose Taro,DET,10,1,6,7,0,15.3,194,19.4,21:51, LW
418,Smith Brendan,NYR,63,4,9,13,-7,15.3,1291,20.5,74:07:00, D
419,Gryba Eric,NJ,10,0,0,0,-1,15.3,194,19.4,0:00, D
420,Hinostroza Vinnie,ARI,72,16,23,39,-4,15.266666666666667,1497,20.8,28:11:00, C
421,Trotman Zach,PIT,13,0,1,1,4,15.266666666666667,273,21.0,198:27:00, D
422,Konecny Travis,PHI,82,24,25,49,-4,15.266666666666667,1652,20.1,25:32:00, C
423,Bowey Madison,DET/WSH,50,2,8,10,-1,15.266666666666667,970,19.4,76:17:00, D
424,Barberio Mark,COL,12,1,0,1,-6,15.233333333333333,232,19.3,182:42:00, D
425,Janmark Mattias,DAL,81,6,19,25,-4,15.216666666666667,1774,21.9,49:18:00, C
426,Simek Radim,SJ,41,1,8,9,7,15.216666666666667,850,20.7,69:19:00, D
427,Marincin Martin,TOR,24,1,4,5,-4,15.2,523,21.8,72:57:00, D
428,McIlrath Dylan,DET,7,0,0,0,2,15.183333333333334,133,19.0,0:00, D
429,Buchnevich Pavel,NYR,64,21,17,38,-10,15.166666666666666,1235,19.3,25:33:00, LW
430,Bratt Jesper,NJ,51,8,25,33,-8,15.166666666666666,961,18.8,23:26, LW
431,Baertschi Sven,VAN,26,9,5,14,-9,15.133333333333333,520,20.0,28:06:00, LW
432,Smith Craig,NSH,76,21,17,38,11,15.133333333333333,1545,20.3,30:15:00, C
433,Bjugstad Nick,PIT/FLA,64,14,12,26,6,15.116666666666667,1340,20.9,37:13:00, C
434,Patrick Nolan,PHI,72,13,18,31,-8,15.083333333333334,1484,20.6,35:01:00, C
435,Wennberg Alexander,CBJ,75,2,23,25,-1,15.083333333333334,1497,20.0,45:13:00, C
436,Riemsdyk van Trevor,CAR,78,3,11,14,-4,15.066666666666666,1563,20.0,83:53:00, D
437,Granlund Markus,VAN,77,12,10,22,-4,15.05,1663,21.6,52:38:00, C
438,Guhle Brendan,BUF/ANA,8,0,1,1,-2,15.016666666666667,161,20.1,120:07:00, D
439,Ritchie Nick,ANA,60,9,22,31,6,15.0,1153,19.2,29:02:00, LW
440,Phaneuf Dion,LA,67,1,5,6,-21,15.0,1420,21.2,167:29:00, D
441,Brassard Derick,PIT/COL/FLA,70,14,9,23,-19,15.0,1406,20.1,45:38:00, C
442,Goldobin Nikolay,VAN,63,7,20,27,-10,14.983333333333333,1243,19.7,34:58:00, RW
443,Grundstrom Carl,LA,15,5,1,6,-4,14.966666666666667,285,19.0,37:25:00, RW
444,Steel Sam,ANA,22,6,5,11,2,14.966666666666667,421,19.1,29:55:00, C
445,Neal James,CGY,63,7,12,19,-5,14.95,1252,19.9,49:35:00, LW
446,Benning Matthew,EDM,70,5,12,17,11,14.95,1499,21.4,61:32:00, D
447,Howden Brett,NYR,66,6,17,23,-16,14.933333333333334,1322,20.0,42:52:00, C
448,Jacobs Josh,NJ,1,0,0,0,-1,14.9,19,19.0,0:00, D
449,Hunt Brad,MIN/VGS,42,5,7,12,-2,14.883333333333333,771,18.4,52:06:00, D
450,Palat Ondrej,TB,64,8,26,34,4,14.883333333333333,1208,18.9,28:01:00, LW
451,Kerfoot Alexander,COL,78,15,27,42,-9,14.883333333333333,1486,19.1,27:38:00, C
452,Gleason Ben,DAL,4,0,1,1,-1,14.883333333333333,78,19.5,59:31:00, D
453,Killorn Alex,TB,82,18,22,40,22,14.866666666666667,1632,19.9,30:29:00, C
454,Kiselevich Bogdan,FLA/WPG,32,0,8,8,-3,14.85,628,19.6,59:25:00, D
455,Laughton Scott,PHI,82,12,20,32,-11,14.85,1668,20.3,38:03:00, C
456,Cirelli Anthony,TB,82,19,20,39,25,14.85,1644,20.0,31:13:00, C
457,Manning Brandon,CHI/EDM,39,2,2,4,-15,14.833333333333334,858,22.0,144:42:00, D
458,Perry Corey,ANA,31,6,4,10,-16,14.816666666666666,572,18.5,45:57:00, RW
459,Virtanen Jake,VAN,70,15,10,25,-4,14.816666666666666,1522,21.7,41:29:00, RW
460,Kassian Zack,EDM,79,15,11,26,-6,14.8,1564,19.8,44:58:00, RW
461,Wallmark Lucas,CAR,81,10,18,28,-8,14.8,1763,21.8,42:47:00, C
462,Oleksiak Jamie,DAL/PIT,57,4,8,12,5,14.733333333333333,1175,20.6,69:58:00, D
463,Hagelin Carl,LA/PIT/WSH,58,5,14,19,7,14.733333333333333,1153,19.9,44:57:00, LW
464,Gravel Kevin,EDM,36,0,3,3,-2,14.716666666666667,752,20.9,176:30:00, D
465,Miller J.T.,TB,75,13,34,47,8,14.666666666666666,1360,18.1,23:24, C
466,Vatrano Frank,FLA,81,24,15,39,-10,14.666666666666666,1620,20.0,30:27:00, C
467,Svechnikov Andrei,CAR,82,20,17,37,0,14.65,1685,20.5,32:27:00, RW
468,Beauvillier Anthony,NYI,81,18,10,28,1,14.65,1435,17.7,42:21:00, LW
469,Lowry Adam,WPG,78,12,11,23,6,14.633333333333333,1688,21.6,49:38:00, C
470,Kampfer Steven,BOS,35,3,3,6,-6,14.633333333333333,713,20.4,85:19:00, D
471,Sheary Conor,BUF,78,14,20,34,-18,14.616666666666667,1480,19.0,33:32:00, LW
472,Aberg Pontus,ANA/MIN,59,12,13,25,-14,14.6,1107,18.8,34:26:00, LW
473,Comtois Max,ANA,10,2,5,7,3,14.583333333333334,190,19.0,20:50, LW
474,Lindgren Ryan,NYR,5,0,0,0,-6,14.583333333333334,102,20.4,0:00, D
475,Gagner Sam,EDM/VAN,32,6,7,13,-6,14.583333333333334,596,18.6,35:54:00, C
476,Helm Darren,DET,61,7,10,17,-11,14.566666666666666,1264,20.7,52:17:00, C
477,Byron Paul,MTL,56,15,16,31,16,14.566666666666666,1160,20.7,26:18:00, C
478,Sautner Ashton,VAN,17,0,1,1,-2,14.55,358,21.1,247:15:00, D
479,Megna Jaycob,ANA,28,1,3,4,-1,14.533333333333333,599,21.4,101:43:00, D
480,McCann Jared,PIT/FLA,78,19,16,35,-1,14.533333333333333,1696,21.7,32:22:00, C
481,Ho-Sang Josh,NYI,10,1,1,2,2,14.516666666666667,177,17.7,72:37:00, RW
482,Kempe Adrian,LA,81,12,16,28,-10,14.5,1696,20.9,41:56:00, RW
483,Watson Austin,NSH,37,7,9,16,11,14.5,744,20.1,33:30:00, LW
484,Martinook Jordan,CAR,82,15,10,25,1,14.483333333333333,1735,21.2,47:30:00, LW
485,Pirri Brandon,VGS,31,12,6,18,7,14.45,515,16.6,24:52:00, C
486,Caggiula Drake,CHI/EDM,55,12,11,23,-5,14.433333333333334,1042,18.9,34:30:00, C
487,Grabner Michael,ARI,41,9,7,16,-2,14.383333333333333,898,21.9,36:52:00, RW
488,Dvorak Christian,ARI,20,2,5,7,-2,14.383333333333333,405,20.3,41:06:00, C
489,Heed Tim,SJ,37,2,11,13,9,14.366666666666667,671,18.1,40:53:00, D
490,Jaros Christian,OTT,61,1,9,10,-14,14.366666666666667,1294,21.2,87:38:00, D
491,McGinn Brock,CAR,82,10,16,26,10,14.316666666666666,1700,20.7,45:07:00, LW
492,Mahura Josh,ANA,17,1,4,5,0,14.3,334,19.6,48:38:00, D
493,Larsson Johan,BUF,73,6,8,14,-8,14.3,1380,18.9,74:31:00, LW
494,Filppula Valtteri,NYI,72,17,14,31,19,14.266666666666667,1389,19.3,33:09:00, C
495,Shore Devin,DAL/ANA,76,10,19,29,-12,14.266666666666667,1558,20.5,37:22:00, C
496,White Colton,NJ,3,0,0,0,-2,14.233333333333333,62,20.7,0:00, D
497,Calvert Matt,COL,82,11,15,26,-10,14.2,1577,19.2,44:45:00, LW
498,Sobotka Vladimir,BUF,69,5,8,13,-20,14.183333333333334,1320,19.1,75:17:00, C
499,Maroon Patrick,STL,74,10,18,28,-3,14.166666666666666,1287,17.4,37:26:00, LW
500,Siegenthaler Jonas,WSH,26,0,4,4,6,14.15,481,18.5,91:59:00, D
501,Kahun Dominik,CHI,82,13,24,37,10,14.15,1531,18.7,31:21:00, C
502,Vanek Thomas,DET,64,16,20,36,-12,14.116666666666667,1188,18.6,25:05:00, LW
503,Tanev Brandon,WPG,80,14,15,29,9,14.116666666666667,1685,21.1,38:55:00, LW
504,Ferland Micheal,CAR,71,17,23,40,13,14.1,1406,19.8,25:01:00, LW
505,Eriksson Loui,VAN,81,11,18,29,-11,14.066666666666666,1668,20.6,39:17:00, LW
506,Hintz Roope,DAL,58,9,13,22,-11,14.05,1270,21.9,37:03:00, LW
