,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
760,Erne Adam,TB,65,7,13,20,10,10.55,976,15.0,34:16:00, LW
761,Mangiapane Andrew,CGY,44,8,5,13,11,10.55,653,14.8,35:41:00, LW
762,Hathaway Garnet,CGY,76,11,8,19,14,10.533333333333333,1160,15.3,42:06:00, RW
763,Peca Matthew,MTL,39,3,7,10,-14,10.516666666666667,594,15.2,41:02:00, C
764,Brown Logan,OTT,2,0,0,0,-2,10.516666666666667,27,13.5,0:00, C
765,Clifford Kyle,LA,72,11,10,21,4,10.483333333333333,1084,15.1,35:57:00, LW
766,Salomaki Miikka,NSH,37,3,4,7,5,10.45,540,14.6,55:16:00, RW
767,Cracknell Adam,ANA,2,0,0,0,-1,10.433333333333334,35,17.5,0:00, RW
768,Kruger Marcus,CHI,74,4,8,12,-2,10.416666666666666,1231,16.6,64:13:00, C
769,Puempel Matt,DET,8,1,0,1,-2,10.4,116,14.5,83:13:00, LW
770,Elie Remi,BUF,16,0,1,1,-3,10.35,235,14.7,165:36:00, LW
771,Seney Brett,NJ,51,5,8,13,-14,10.333333333333334,705,13.8,40:31:00, LW
772,Kossila Kalle,ANA,8,1,0,1,-1,10.3,131,16.4,82:26:00, C
773,Dowd Nic,WSH,64,8,14,22,10,10.3,862,13.5,29:56:00, C
774,Dea Jean-Sebastien,NJ/PIT/FLA,23,4,2,6,0,10.25,339,14.7,39:18:00, C
775,Prosser Nate,MIN,15,0,0,0,1,10.216666666666667,209,13.9,0:00, D
776,Carrick Sam,ANA,6,0,1,1,-1,10.216666666666667,96,16.0,61:19:00, C
777,Amadio Michael,LA,43,6,7,13,-1,10.2,606,14.1,33:45:00, C
778,Heatherington Dillon,DAL,5,0,1,1,4,10.183333333333334,71,14.2,50:56:00, D
779,Martel Danick,TB,9,0,2,2,3,10.183333333333334,124,13.8,45:48:00, C
780,Scherbak Nikita,LA/MTL,8,1,0,1,-4,10.183333333333334,114,14.3,81:25:00, LW
781,Lettieri Vinni,NYR,27,1,2,3,-7,10.15,359,13.3,91:24:00, C
782,Giuseppe Di Phil,CAR/NSH,24,1,3,4,-3,10.133333333333333,339,14.1,60:48:00, LW
783,Nogier Nelson,WPG,1,0,0,0,0,10.1,11,11.0,0:00, D
784,Jaskin Dmitrij,WSH,37,2,6,8,-5,10.083333333333334,462,12.5,46:38:00, RW
785,Dube Dillon,CGY,25,1,4,5,2,10.066666666666666,350,14.0,50:20:00, C
786,Deslauriers Nicolas,MTL,48,2,3,5,-12,10.033333333333333,668,13.9,96:21:00, LW
787,Necas Martin,CAR,7,1,1,2,0,10.016666666666667,103,14.7,35:05:00, C
788,Grimaldi Rocco,NSH,53,5,8,13,-2,10.0,747,14.1,40:47:00, C
789,Zykov Valentin,EDM/CAR/VGS,28,2,3,5,-5,9.95,342,12.2,55:43:00, RW
790,Carrier William,VGS,54,8,1,9,-4,9.95,700,13.0,59:40:00, LW
791,Ennis Tyler,TOR,51,12,6,18,-6,9.933333333333334,683,13.4,28:09:00, LW
792,Middleton Jacob,SJ,3,0,1,1,-1,9.933333333333334,41,13.7,29:48:00, D
793,Brodzinski Jonny,LA,13,2,1,3,0,9.916666666666666,176,13.5,43:00:00, C
794,Alt Mark,COL,2,0,0,0,0,9.916666666666666,29,14.5,0:00, D
795,Blais Sammy,STL,32,2,2,4,-1,9.85,429,13.4,78:49:00, LW
796,Boyd Travis,WSH,53,5,15,20,6,9.833333333333334,695,13.1,26:02:00, C
797,Carr Daniel,VGS,6,1,0,1,-1,9.833333333333334,73,12.2,58:57:00, LW
798,Roslovic Jack,WPG,77,9,15,24,-2,9.75,1015,13.2,31:15:00, C
799,Blackwell Colin,NSH,6,0,0,0,-1,9.733333333333333,86,14.3,0:00, C
800,Bourque Gabriel,COL,55,2,6,8,3,9.733333333333333,757,13.8,66:56:00, LW
801,Pitlick Rem,NSH,1,0,0,0,0,9.716666666666667,14,14.0,0:00, C
802,Knight Corban,PHI,23,1,3,4,-5,9.683333333333334,304,13.2,55:39:00, C
803,Kyrou Jordan,STL,16,1,2,3,-1,9.666666666666666,213,13.3,51:31:00, C
804,Nieves Boo,NYR,43,4,6,10,-4,9.65,573,13.3,41:31:00, C
805,Ritchie Brett,DAL,53,4,2,6,-7,9.6,814,15.4,84:50:00, RW
806,Witkowski Luke,DET,34,0,2,2,-5,9.6,447,13.1,163:09:00, D
807,Bunting Michael,ARI,5,1,0,1,0,9.55,71,14.2,47:47:00, LW
808,Greco Anthony,FLA,1,0,0,0,-3,9.5,16,16.0,0:00, RW
809,Quine Alan,CGY,13,3,2,5,0,9.5,172,13.2,24:41:00, C
810,Hannikainen Markus,CBJ,44,4,3,7,-5,9.483333333333333,599,13.6,59:34:00, LW
811,Bishop Clark,CAR,20,1,2,3,-3,9.45,269,13.5,63:02:00, C
812,Hawryluk Jayce,FLA,42,7,5,12,-8,9.433333333333334,588,14.0,33:00:00, C
813,Maenalanen Saku,CAR,34,4,4,8,0,9.433333333333334,506,14.9,40:04:00, RW
814,Chartier Rourke,SJ,13,1,0,1,-5,9.4,187,14.4,122:14:00, C
815,Frederic Trent,BOS,15,0,0,0,-4,9.4,198,13.2,0:00, C
816,Carlsson Gabriel,CBJ,1,0,0,0,-1,9.35,17,17.0,0:00, D
817,MacDermid Kurtis,LA,11,0,1,1,-1,9.35,146,13.3,102:49:00, D
818,Vorobyev Mikhail,PHI,15,1,1,2,0,9.333333333333334,183,12.2,70:00:00, C
819,Sherwood Kole,CBJ,2,0,0,0,0,9.233333333333333,25,12.5,0:00, RW
820,Frk Martin,DET,30,1,5,6,-9,9.183333333333334,389,13.0,45:55:00, RW
821,Rychel Kerby,CGY,2,0,0,0,-1,9.183333333333334,26,13.0,0:00, LW
822,Brown J.T.,MIN,56,3,5,8,0,9.166666666666666,692,12.4,64:11:00, RW
823,Hayden John,CHI,54,3,2,5,-12,9.166666666666666,712,13.2,98:56:00, C
824,Lehtera Jori,PHI,27,1,2,3,-7,9.116666666666667,389,14.4,82:00:00, C
825,Vaakanainen Urho,BOS,2,0,0,0,-1,9.1,25,12.5,0:00, D
826,Moore Trevor,TOR,25,2,6,8,1,9.1,335,13.4,28:25:00, LW
827,Dries Sheldon,COL,40,3,3,6,-7,9.066666666666666,519,13.0,60:29:00, C
828,Gignac Brandon,NJ,1,0,0,0,-2,9.066666666666666,12,12.0,0:00, C
829,Kunitz Chris,CHI,56,5,5,10,-7,9.066666666666666,747,13.3,50:43:00, LW
830,Lemieux Brendan,NYR/WPG,63,12,5,17,6,9.05,795,12.6,33:31:00, LW
831,Kamenev Vladislav,COL,23,2,3,5,-2,9.033333333333333,295,12.8,41:34:00, LW
832,Dalpe Zac,CBJ,1,0,1,1,1,9.016666666666667,16,16.0,9:01, C
833,Gaudreau Frederick,NSH,55,3,1,4,1,9.016666666666667,732,13.3,123:56:00, C
