,Player,Team,Age,Height,Weight,GP,Injury Status,MP,Pos
77,Corey Brewer,SAC,33.0,6.75,186.0,31.0,Not Injured,16.8,SF-SG
78,Cory Joseph,IND,27.0,6.25,193.0,82.0,Not Injured,27.0,PG
79,Courtney Lee,DAL,33.0,6.42,215.0,34.0,Injured,30.4,SG
80,Cristiano Felicio,CHI,26.0,6.83,265.0,60.0,Injured,17.8,C
81,D'Angelo Russell,BKN,23.0,6.42,198.0,81.0,Injured,25.7,PG
82,D.J. Augustin,ORL,31.0,6.0,183.0,81.0,Not Injured,23.5,PG
83,D.J. Wilson,MIL,23.0,6.83,231.0,48.0,Not Injured,3.2,PF
84,DJ Stephens,MEM,28.0,6.42,188.0,1.0,Not Injured,,
85,Dairis Bertans,NOP,29.0,6.33,200.0,12.0,Not Injured,,
86,Damian Jones,GSW,23.0,7.0,245.0,24.0,Not Injured,5.9,C
87,Damian Lillard,POR,28.0,6.25,195.0,80.0,Injured,36.6,PG
88,Damion Lee,GSW,26.0,6.5,210.0,32.0,Not Injured,26.9,SG
89,Damyean Dotson,NYK,25.0,6.5,210.0,73.0,Injured,10.8,SG
90,Daniel Hamilton,ATL,23.0,6.58,195.0,19.0,Not Injured,4.7,SG
91,Daniel Theis,BOS,27.0,6.67,243.0,66.0,Injured,14.9,C
92,Danilo Gallinari,LAC,30.0,6.83,225.0,68.0,Injured,32.0,SF
93,Danny Green,TOR,32.0,6.5,215.0,80.0,Injured,25.6,SG
94,Dante Cunningham,SAS,32.0,6.67,230.0,64.0,Injured,21.4,SF
95,Dante Exum,UTA,23.0,6.5,190.0,42.0,Injured,16.8,PG
96,Danuel House Jr.,HOU,26.0,6.58,220.0,39.0,Not Injured,,
97,Dario Saric,MIN,25.0,6.83,223.0,81.0,Injured,29.6,PF
98,Darius Miller,NOP,29.0,6.67,225.0,69.0,Not Injured,23.7,SF
99,Darren Collison,IND,31.0,6.0,175.0,76.0,Injured,29.2,PG
100,Daryl Macon,DAL,23.0,6.25,185.0,8.0,Not Injured,,
101,David Nwaba,CLE,26.0,6.33,219.0,51.0,Injured,23.5,SG
102,Davis Bertans,SAS,26.0,6.83,225.0,76.0,Not Injured,14.1,PF
103,Davon Reed,IND,24.0,6.42,208.0,10.0,Injured,11.5,SG
104,De'Aaron Fox,SAC,21.0,6.25,175.0,81.0,Injured,27.8,PG
105,De'Anthony Melton,PHX,21.0,6.33,200.0,50.0,Not Injured,,
106,DeAndre Jordan,NYK,30.0,6.92,265.0,69.0,Injured,31.5,C
107,DeAndre' Bembry,ATL,24.0,6.5,210.0,82.0,Injured,17.5,SF
108,DeMar DeRozan,SAS,29.0,6.58,220.0,77.0,Injured,33.9,SG
109,DeMarcus Cousins,GSW,28.0,6.92,270.0,30.0,Injured,36.2,C
110,DeMarre Carroll,BKN,32.0,6.67,215.0,67.0,Injured,29.9,PF
111,DeVaughn Akoon-Purcell,DEN,26.0,6.5,200.0,7.0,Not Injured,,
112,Deandre Ayton,PHX,20.0,7.08,250.0,71.0,Not Injured,,
113,Delon Wright,MEM,27.0,6.42,183.0,75.0,Injured,20.8,PG
114,Demetrius Jackson,PHI,24.0,6.08,201.0,6.0,Not Injured,5.3,PG
115,Deng Adel,CLE,22.0,6.58,200.0,19.0,Not Injured,,
116,Dennis Schroder,OKC,25.0,6.08,172.0,79.0,Injured,31.0,PG
117,Dennis Smith Jr.,NYK,21.0,6.25,195.0,53.0,Injured,,
118,Deonte Burton,OKC,25.0,6.42,245.0,32.0,Not Injured,,
119,Derrick Favors,UTA,27.0,6.83,265.0,76.0,Injured,28.0,C
120,Derrick Jones Jr.,MIA,22.0,6.58,200.0,60.0,Not Injured,,
121,Derrick Rose,MIN,30.0,6.25,200.0,51.0,Injured,16.8,PG
122,Derrick White,SAS,24.0,6.33,190.0,67.0,Not Injured,8.2,PG
123,Devin Booker,PHX,22.0,6.5,210.0,64.0,Injured,34.5,SG
124,Devin Harris,DAL,36.0,6.25,185.0,68.0,Not Injured,18.9,PG
125,Devin Robinson,WAS,24.0,6.67,200.0,7.0,Not Injured,13.0,SF
126,Devonte' Graham,CHA,24.0,6.17,185.0,46.0,Not Injured,,
127,Dewayne Dedmon,ATL,29.0,7.0,245.0,64.0,Injured,24.9,C
128,Deyonta Davis,ATL,22.0,6.92,237.0,9.0,Injured,15.2,C
129,Dillon Brooks,MEM,23.0,6.5,220.0,18.0,Not Injured,28.7,SF
130,Dion Waiters,MIA,27.0,6.33,215.0,44.0,Injured,30.6,SG
131,Dirk Nowitzki,DAL,41.0,7.0,245.0,51.0,Injured,24.7,C
132,Domantas Sabonis,IND,23.0,6.92,240.0,74.0,Injured,24.5,C
133,Donatas Motiejunas,SAS,28.0,7.0,220.0,3.0,Not Injured,,
134,Donovan Mitchell,UTA,22.0,6.25,215.0,77.0,Injured,33.4,SG
135,Donte DiVincenzo,MIL,22.0,6.33,203.0,27.0,Not Injured,,
136,Donte Grantham,OKC,24.0,6.67,215.0,3.0,Not Injured,,
137,Dorian Finney-Smith,DAL,26.0,6.67,220.0,81.0,Injured,21.3,PF
138,Doug McDermott,IND,27.0,6.67,225.0,77.0,Injured,21.8,SF
139,Dragan Bender,PHX,21.0,7.08,225.0,46.0,Not Injured,25.2,PF
140,Draymond Green,GSW,29.0,6.58,230.0,66.0,Injured,32.7,PF
141,Drew Eubanks,SAS,22.0,6.83,245.0,23.0,Not Injured,,
142,Duncan Robinson,MIA,25.0,6.67,210.0,15.0,Not Injured,,
143,Dusty Hannahs,MEM,25.0,6.33,195.0,2.0,Not Injured,,
144,Dwayne Bacon,CHA,23.0,6.58,221.0,43.0,Injured,13.5,SG
145,Dwight Howard,WAS,33.0,6.92,265.0,9.0,Not Injured,30.4,C
146,Dwight Powell,DAL,27.0,6.92,240.0,77.0,Injured,21.2,C
147,Dwyane Wade,MIA,37.0,6.33,220.0,72.0,Injured,22.9,SG
148,Dzanan Musa,BKN,20.0,6.75,208.0,9.0,Not Injured,,
149,E'Twaun Moore,NOP,30.0,6.33,191.0,53.0,Not Injured,31.5,SG
150,Ed Davis,BKN,30.0,6.83,225.0,81.0,Not Injured,18.9,C
151,Edmond Sumner,IND,23.0,6.5,176.0,23.0,Not Injured,2.0,PG
152,Ekpe Udoh,UTA,32.0,6.83,245.0,51.0,Not Injured,12.9,C
153,Elfrid Payton,NOP,25.0,6.33,185.0,42.0,Injured,28.7,PG
154,Elie Okobo,PHX,21.0,6.25,190.0,53.0,Not Injured,,
155,Emanuel Terry,MIA,22.0,6.75,220.0,3.0,Not Injured,,
156,Emmanuel Mudiay,NYK,23.0,6.42,200.0,59.0,Injured,19.5,PG
157,Enes Kanter,POR,27.0,6.92,250.0,67.0,Injured,25.8,C
158,Eric Bledsoe,MIL,29.0,6.08,205.0,78.0,Not Injured,31.4,PG
159,Eric Gordon,HOU,30.0,6.33,215.0,68.0,Injured,31.2,SG
160,Eric Moreland,TOR,27.0,6.83,238.0,5.0,Not Injured,12.0,PF
161,Ersan Ilyasova,MIL,32.0,6.83,235.0,67.0,Injured,25.1,PF
162,Evan Fournier,ORL,26.0,6.58,205.0,81.0,Injured,32.2,SF
163,Evan Turner,POR,30.0,6.58,220.0,73.0,Injured,25.7,SF
164,Frank Jackson,NOP,21.0,6.25,205.0,61.0,Injured,,
165,Frank Kaminsky,CHA,26.0,7.0,242.0,47.0,Injured,23.2,PF
166,Frank Mason,SAC,25.0,5.92,190.0,38.0,Injured,18.9,PG
167,Frank Ntilikina,NYK,20.0,6.5,200.0,43.0,Injured,21.9,PG
168,Fred VanVleet,TOR,25.0,6.0,195.0,64.0,Not Injured,20.0,PG
169,Furkan Korkmaz,PHI,21.0,6.58,190.0,48.0,Injured,5.7,SG
170,Garrett Temple,LAC,33.0,6.5,195.0,75.0,Injured,24.8,SG
171,Gary Clark,HOU,24.0,6.67,225.0,51.0,Not Injured,,
172,Gary Harris,DEN,24.0,6.33,210.0,57.0,Injured,34.4,SG
173,Gary Payton II,WAS,26.0,6.25,190.0,3.0,Not Injured,,
174,Gary Trent Jr.,POR,20.0,6.5,205.0,15.0,Not Injured,,
175,George Hill,MIL,33.0,6.25,188.0,60.0,Not Injured,27.0,PG
176,George King,PHX,25.0,6.5,220.0,1.0,Not Injured,,
177,Georges Niang,UTA,26.0,6.67,230.0,59.0,Not Injured,3.6,PF
178,Gerald Green,HOU,33.0,6.58,205.0,73.0,Not Injured,22.7,SG
179,Giannis Antetokounmpo,MIL,24.0,6.92,242.0,72.0,Injured,36.7,PF
180,Glenn Robinson III,DET,25.0,6.5,222.0,47.0,Injured,,
181,Goran Dragic,MIA,33.0,6.25,190.0,36.0,Injured,31.7,PG
182,Gordon Hayward,BOS,29.0,6.67,225.0,72.0,Injured,5.0,SF
183,Gorgui Dieng,MIN,29.0,6.92,252.0,76.0,Injured,16.9,C
184,Grayson Allen,UTA,23.0,6.42,198.0,38.0,Not Injured,,
